id,cycle,op1,op2,op3,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,sensor17,sensor18,sensor19,sensor20,sensor21,sensor22,sensor23
48,162,0.001,-0.0005,100,518.67,642.67,1588.73,1402.08,14.62,21.61,553.87,2388.04,9097.55,1.3,47.33,521.2,2388.03,8172.98,8.4651,0.03,391,2388,100,38.86,23.2964,0,0
48,222,0.0056,0.0004,100,518.67,643.71,1603.59,1419.42,14.62,21.61,552.2,2388.1,9190.24,1.3,47.9,520.73,2388.06,8248.76,8.5139,0.03,395,2388,100,38.65,23.1358,0,0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,55,5,5,5,5,5,8
1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,1,1,11,1
1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,3,3,3,3,3,3,33,3,3,3,3,3,3,33,3,3,3,3,3,3,3,3,3,3,3,3
22,22,2,2,2,2,2,2,2,2,2,2,2,2,2,22,2,2,2,2,2,2,2,2,2,2,22,3
4,4,4,4,4,4,44,4,4,4,4,4,4,4,4,44,4,4,4,4,4,4,4,4,4,4,44,5
5,5,5,5,5,5,5,55,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,4,4,4,4,4,4,4,4,4,4,4,4,44,4,4,4,4,4,4,4,4,4,4,4,44,4,4
5,5,5,5,5,5,5,55,5,5,5,5,5,5,5,5,5,5,5,5,5,55,5,5,5,5,5,5
5,5,5,5,5,5,55,5,5,5,5,5,5,5,5,5,5,55,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,55,5,5,5,5,5,5,5,5,5
1,225,100,200,300,0.23,0.76,-987,0.76,467,987,0.843,-876,0.876,556,0.987,-0.987,-876,987,0.876,0.876,0.567,0.876,0.76,0.4567,876,98,786
1,21,654,897,654,0.64,0.76,0.34,0.987,0.134,-675,654,789,653,0.768,0.886,0.996,-987,-546,0.567,0.876,0.198,0.56921,-9564,432,657,89,0
